"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"File","Print","Ctrl+P","In Windows"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Window","Activate Editor","Esc","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"File","Close All","Shift+Ctrl+W","In Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Window","Next Editor","Ctrl+F6","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Views","Show View ()","Shift+Alt+Q D","In Windows"
"Run/Debug","Debug XSLT Transformation","Shift+Alt+D X","In Windows"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"File","New","Ctrl+N","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Run/Debug","Step Return","F7","Debugging"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Debug","F11","In Windows"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"File","Close","Ctrl+F4","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Web Page Editor Layout","Graphical Designer","Shift+Ctrl+F11","Using Web Page Editor"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Views","JavaScript Declaration","Shift+Alt+Q D","JavaScript View"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Project","Build All","Ctrl+B","In Windows"
"File","Save","Ctrl+S","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Window","Activate Editor","F12","In Windows"
"Terminal view commands","Paste","Shift+Ctrl+V","Terminal Control in Focus"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"EMF Code Generation","Generate Code","Shift+Alt+G","In Windows"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Run/Debug","Inspect","Shift+Ctrl+I","Chromium Debug"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"File","Close","Ctrl+W","In Windows"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Navigate","Backward History","Alt+Left","In Windows"
"Edit","Rename","Shift+Alt+R","Editing JSP Source"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Views","Show View (Variables)","Alt+5","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Views","Documentation","Shift+Alt+Q J","JavaScript View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"View","Zoom In","Ctrl+=","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"JavaScript Debug","Evaluate","Shift+Alt+E","Editing JavaScript Source"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Views","Show View (Expressions)","Alt+4","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Navigate","Previous Page","Shift+Ctrl+F5","Using Web Page Editor"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Web Page Editor Layout","Vertical Layout","Shift+Ctrl+F9","Using Web Page Editor"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Navigate","Open from Clipboard","Shift+Ctrl+V","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Navigate","Previous Page","Shift+Ctrl+F5","In Faces Config Editor"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Line Start","Home","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Web Page Editor Layout","Source Code","Shift+Ctrl+F12","Using Web Page Editor"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Run XSLT Transformation","Shift+Alt+X X","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Views","JavaScript Type Hierarchy","Shift+Alt+Q T","JavaScript View"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Edit","Delete","Delete","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
